x, y
10.42572, -2813.26479
10.36721, -2819.11644
10.42572, -2824.96808
10.42572, -2830.81972
10.48424, -2836.67137
10.48424, -2842.52301
10.48424, -2848.37466
10.54276, -2854.2263
10.54276, -2860.07795
10.54276, -2865.92959
10.54276, -2871.78123
10.54276, -2877.63288
10.54276, -2883.48452
10.54276, -2889.33617
10.60128, -2895.18781
10.60128, -2901.03946
10.60128, -2906.8911
10.6598, -2912.74274
10.6598, -2918.59439
10.71832, -2924.44603
10.71832, -2930.29768
10.71832, -2936.14932
10.71832, -2942.00097
10.77683, -2947.85261
10.71832, -2953.70425
10.83535, -2960.53117
10.60128, -2960.53117
10.60128, -2966.38282
10.83535, -2970.28391
10.60128, -2972.23446
10.6598, -2975.16028
10.71832, -2981.01193
10.71832, -2986.86357
10.77683, -2992.71522
10.77683, -2998.56686
